"data","iter","id","confidence","support","class_suppport","var_length","levels_length","var_nbr_scaled","levels_nbr_scaled","cond","Ypred","var_used"
"vote",2,538,0.984126984126984,0.20655737704918,0.533898305084746,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('y') & X[,10] %in% c('y')","'republican'","V4,V10"
"vote",3,97,0.963414634146341,0.268852459016393,0.694915254237288,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,14] %in% c('y') & X[,16] %in% c('y')","'republican'","V4,V14,V16"
"vote",3,280,0.979591836734694,0.481967213114754,0.786096256684492,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('n') & X[,7] %in% c('y')","'democrat'","V4,V7"
"vote",3,441,0.98,0.327868852459016,0.847457627118644,2,2,0.333333333333333,0.333333333333333,"X[,3] %in% c('n') & X[,4] %in% c('y')","'republican'","V3,V4"
"vote",3,482,0.972222222222222,0.118032786885246,0.192513368983957,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('n') & X[,7] %in% c('n')","'democrat'","V4,V7"
"vote",4,136,0.992805755395683,0.455737704918033,0.74331550802139,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('n') & X[,5] %in% c('n')","'democrat'","V4,V5"
"vote",4,137,1,0.0754098360655738,0.122994652406417,3,3,0.5,0.5,"X[,4] %in% c('n') & X[,5] %in% c('y') & X[,8] %in% c('n')","'democrat'","V4,V5,V8"
"vote",4,209,0.971428571428571,0.344262295081967,0.889830508474576,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('y') & X[,11] %in% c('n')","'republican'","V4,V11"
"vote",4,441,0.833333333333333,0.039344262295082,0.101694915254237,5,5,0.833333333333333,0.833333333333333,"X[,3] %in% c('n') & X[,4] %in% c('y') & X[,5] %in% c('y') & X[,11] %in% c('y') & X[,13] %in% c('y')","'republican'","V3,V4,V5,V11,V13"
"vote",4,444,0.986301369863014,0.478688524590164,0.780748663101604,3,3,0.5,0.5,"X[,4] %in% c('n') & X[,8] %in% c('y') & X[,12] %in% c('n')","'democrat'","V4,V8,V12"
"vote",5,65,0.978494623655914,0.304918032786885,0.788135593220339,3,3,0.5,0.5,"X[,3] %in% c('n') & X[,4] %in% c('y') & X[,9] %in% c('n')","'republican'","V3,V4,V9"
"vote",5,81,0.96875,0.104918032786885,0.271186440677966,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('y') & X[,7] %in% c('y')","'republican'","V4,V7"
"vote",5,292,0.988505747126437,0.285245901639344,0.73728813559322,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,11] %in% c('n') & X[,15] %in% c('n')","'republican'","V4,V11,V15"
"vote",5,331,0.983333333333333,0.590163934426229,0.962566844919786,1,1,0.166666666666667,0.166666666666667,"X[,4] %in% c('n')","'democrat'","V4"
"vote",6,25,0.953488372093023,0.281967213114754,0.459893048128342,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('n') & X[,6] %in% c('y')","'democrat'","V4,V6"
"vote",6,244,0.969072164948454,0.318032786885246,0.822033898305085,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('y') & X[,12] %in% c('y')","'republican'","V4,V12"
"vote",6,396,0.971153846153846,0.340983606557377,0.88135593220339,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('y') & X[,11] %in% c('n')","'republican'","V4,V11"
"vote",6,544,0.989795918367347,0.321311475409836,0.524064171122995,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('n') & X[,6] %in% c('n')","'democrat'","V4,V6"
"vote",7,119,0.968085106382979,0.308196721311475,0.796610169491525,3,3,0.5,0.5,"X[,3] %in% c('n') & X[,4] %in% c('y') & X[,13] %in% c('y')","'republican'","V3,V4,V13"
"vote",7,125,0.956521739130435,0.150819672131148,0.389830508474576,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,10] %in% c('y') & X[,16] %in% c('y')","'republican'","V4,V10,V16"
"vote",7,277,0.977900552486188,0.59344262295082,0.967914438502674,1,1,0.166666666666667,0.166666666666667,"X[,4] %in% c('n')","'democrat'","V4"
"vote",7,328,0.988095238095238,0.275409836065574,0.711864406779661,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,11] %in% c('n') & X[,12] %in% c('y')","'republican'","V4,V11,V12"
"vote",8,144,0.9875,0.262295081967213,0.427807486631016,2,2,0.333333333333333,0.333333333333333,"X[,3] %in% c('y') & X[,11] %in% c('y')","'democrat'","V3,V11"
"vote",8,328,0.970588235294118,0.334426229508197,0.864406779661017,2,2,0.333333333333333,0.333333333333333,"X[,4] %in% c('y') & X[,11] %in% c('n')","'republican'","V4,V11"
"vote",8,337,0.97752808988764,0.583606557377049,0.951871657754011,1,1,0.166666666666667,0.166666666666667,"X[,4] %in% c('n')","'democrat'","V4"
"vote",8,338,0.977777777777778,0.295081967213115,0.76271186440678,3,3,0.5,0.5,"X[,3] %in% c('n') & X[,4] %in% c('y') & X[,12] %in% c('y')","'republican'","V3,V4,V12"
"vote",9,214,0.990566037735849,0.347540983606557,0.566844919786096,2,2,0.333333333333333,0.333333333333333,"X[,1] %in% c('y') & X[,4] %in% c('n')","'democrat'","V1,V4"
"vote",9,487,0.984962406015038,0.436065573770492,0.711229946524064,3,3,0.5,0.5,"X[,5] %in% c('n') & X[,7] %in% c('y') & X[,8] %in% c('y')","'democrat'","V5,V7,V8"
"vote",9,508,0.949367088607595,0.259016393442623,0.669491525423729,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,5] %in% c('y') & X[,16] %in% c('y')","'republican'","V4,V5,V16"
"vote",9,509,0.972972972972973,0.121311475409836,0.313559322033898,4,4,0.666666666666667,0.666666666666667,"X[,3] %in% c('n') & X[,4] %in% c('y') & X[,5] %in% c('y') & X[,16] %in% c('n')","'republican'","V3,V4,V5,V16"
"vote",9,524,0.982142857142857,0.550819672131148,0.898395721925134,2,2,0.333333333333333,0.333333333333333,"X[,3] %in% c('y') & X[,4] %in% c('n')","'democrat'","V3,V4"
"vote",10,1,0.994350282485876,0.580327868852459,0.946524064171123,1,1,0.166666666666667,0.166666666666667,"X[,4] %in% c('n')","'democrat'","V4"
"vote",10,348,0.96875,0.104918032786885,0.171122994652406,3,3,0.5,0.5,"X[,3] %in% c('y') & X[,11] %in% c('y') & X[,13] %in% c('y')","'democrat'","V3,V11,V13"
"vote",10,469,0.989583333333333,0.314754098360656,0.813559322033898,3,3,0.5,0.5,"X[,4] %in% c('y') & X[,11] %in% c('n') & X[,15] %in% c('n')","'republican'","V4,V11,V15"
"vote",10,486,0.989690721649485,0.318032786885246,0.822033898305085,4,4,0.666666666666667,0.666666666666667,"X[,3] %in% c('n') & X[,4] %in% c('y') & X[,5] %in% c('y') & X[,15] %in% c('n')","'republican'","V3,V4,V5,V15"
"vote",10,500,0.978021978021978,0.298360655737705,0.771186440677966,3,3,0.5,0.5,"X[,1] %in% c('n') & X[,4] %in% c('y') & X[,11] %in% c('n')","'republican'","V1,V4,V11"
